sim_id,N,M,k,theta1,pa,theta2,pb
362,5000,15000,14,0.15,0.99,0.05,0.05
363,5000,15000,14,0.15,0.99,0.05,0.1
364,5000,15000,14,0.15,0.99,0.05,0.15
365,5000,15000,14,0.15,0.99,0.05,0.2
366,5000,15000,14,0.15,0.99,0.075,0.01
367,5000,15000,14,0.15,0.99,0.075,0.05
368,5000,15000,14,0.15,0.99,0.075,0.1
369,5000,15000,14,0.15,0.99,0.075,0.15
370,5000,15000,14,0.15,0.99,0.075,0.2
371,5000,15000,14,0.15,0.99,0.1,0.01
372,5000,15000,14,0.15,0.99,0.1,0.05
373,5000,15000,14,0.15,0.99,0.1,0.1
374,5000,15000,14,0.15,0.99,0.1,0.15
375,5000,15000,14,0.15,0.99,0.1,0.2
376,5000,15000,14,0.2,0.8,0.01,0.01
377,5000,15000,14,0.2,0.8,0.01,0.05
378,5000,15000,14,0.2,0.8,0.01,0.1
379,5000,15000,14,0.2,0.8,0.01,0.15
380,5000,15000,14,0.2,0.8,0.01,0.2
381,5000,15000,14,0.2,0.8,0.025,0.01
382,5000,15000,14,0.2,0.8,0.025,0.05
383,5000,15000,14,0.2,0.8,0.025,0.1
384,5000,15000,14,0.2,0.8,0.025,0.15
385,5000,15000,14,0.2,0.8,0.025,0.2
386,5000,15000,14,0.2,0.8,0.05,0.01
387,5000,15000,14,0.2,0.8,0.05,0.05
388,5000,15000,14,0.2,0.8,0.05,0.1
389,5000,15000,14,0.2,0.8,0.05,0.15
390,5000,15000,14,0.2,0.8,0.05,0.2
391,5000,15000,14,0.2,0.8,0.075,0.01
392,5000,15000,14,0.2,0.8,0.075,0.05
393,5000,15000,14,0.2,0.8,0.075,0.1
394,5000,15000,14,0.2,0.8,0.075,0.15
395,5000,15000,14,0.2,0.8,0.075,0.2
396,5000,15000,14,0.2,0.8,0.1,0.01
397,5000,15000,14,0.2,0.8,0.1,0.05
398,5000,15000,14,0.2,0.8,0.1,0.1
399,5000,15000,14,0.2,0.8,0.1,0.15
400,5000,15000,14,0.2,0.8,0.1,0.2
401,5000,15000,14,0.2,0.85,0.01,0.01
402,5000,15000,14,0.2,0.85,0.01,0.05
403,5000,15000,14,0.2,0.85,0.01,0.1
404,5000,15000,14,0.2,0.85,0.01,0.15
405,5000,15000,14,0.2,0.85,0.01,0.2
406,5000,15000,14,0.2,0.85,0.025,0.01
407,5000,15000,14,0.2,0.85,0.025,0.05
408,5000,15000,14,0.2,0.85,0.025,0.1
409,5000,15000,14,0.2,0.85,0.025,0.15
410,5000,15000,14,0.2,0.85,0.025,0.2
411,5000,15000,14,0.2,0.85,0.05,0.01
412,5000,15000,14,0.2,0.85,0.05,0.05
413,5000,15000,14,0.2,0.85,0.05,0.1
414,5000,15000,14,0.2,0.85,0.05,0.15
415,5000,15000,14,0.2,0.85,0.05,0.2
416,5000,15000,14,0.2,0.85,0.075,0.01
417,5000,15000,14,0.2,0.85,0.075,0.05
418,5000,15000,14,0.2,0.85,0.075,0.1
419,5000,15000,14,0.2,0.85,0.075,0.15
420,5000,15000,14,0.2,0.85,0.075,0.2
421,5000,15000,14,0.2,0.85,0.1,0.01
422,5000,15000,14,0.2,0.85,0.1,0.05
423,5000,15000,14,0.2,0.85,0.1,0.1
424,5000,15000,14,0.2,0.85,0.1,0.15
425,5000,15000,14,0.2,0.85,0.1,0.2
426,5000,15000,14,0.2,0.9,0.01,0.01
427,5000,15000,14,0.2,0.9,0.01,0.05
428,5000,15000,14,0.2,0.9,0.01,0.1
429,5000,15000,14,0.2,0.9,0.01,0.15
430,5000,15000,14,0.2,0.9,0.01,0.2
431,5000,15000,14,0.2,0.9,0.025,0.01
432,5000,15000,14,0.2,0.9,0.025,0.05
433,5000,15000,14,0.2,0.9,0.025,0.1
434,5000,15000,14,0.2,0.9,0.025,0.15
435,5000,15000,14,0.2,0.9,0.025,0.2
436,5000,15000,14,0.2,0.9,0.05,0.01
437,5000,15000,14,0.2,0.9,0.05,0.05
438,5000,15000,14,0.2,0.9,0.05,0.1
439,5000,15000,14,0.2,0.9,0.05,0.15
440,5000,15000,14,0.2,0.9,0.05,0.2
441,5000,15000,14,0.2,0.9,0.075,0.01
442,5000,15000,14,0.2,0.9,0.075,0.05
443,5000,15000,14,0.2,0.9,0.075,0.1
444,5000,15000,14,0.2,0.9,0.075,0.15
445,5000,15000,14,0.2,0.9,0.075,0.2
446,5000,15000,14,0.2,0.9,0.1,0.01
447,5000,15000,14,0.2,0.9,0.1,0.05
448,5000,15000,14,0.2,0.9,0.1,0.1
449,5000,15000,14,0.2,0.9,0.1,0.15
450,5000,15000,14,0.2,0.9,0.1,0.2
451,5000,15000,14,0.2,0.95,0.01,0.01
452,5000,15000,14,0.2,0.95,0.01,0.05
453,5000,15000,14,0.2,0.95,0.01,0.1
454,5000,15000,14,0.2,0.95,0.01,0.15
455,5000,15000,14,0.2,0.95,0.01,0.2
456,5000,15000,14,0.2,0.95,0.025,0.01
457,5000,15000,14,0.2,0.95,0.025,0.05
458,5000,15000,14,0.2,0.95,0.025,0.1
459,5000,15000,14,0.2,0.95,0.025,0.15
460,5000,15000,14,0.2,0.95,0.025,0.2
461,5000,15000,14,0.2,0.95,0.05,0.01
462,5000,15000,14,0.2,0.95,0.05,0.05
463,5000,15000,14,0.2,0.95,0.05,0.1
464,5000,15000,14,0.2,0.95,0.05,0.15
465,5000,15000,14,0.2,0.95,0.05,0.2
466,5000,15000,14,0.2,0.95,0.075,0.01
467,5000,15000,14,0.2,0.95,0.075,0.05
468,5000,15000,14,0.2,0.95,0.075,0.1
469,5000,15000,14,0.2,0.95,0.075,0.15
470,5000,15000,14,0.2,0.95,0.075,0.2
471,5000,15000,14,0.2,0.95,0.1,0.01
472,5000,15000,14,0.2,0.95,0.1,0.05
473,5000,15000,14,0.2,0.95,0.1,0.1
474,5000,15000,14,0.2,0.95,0.1,0.15
475,5000,15000,14,0.2,0.95,0.1,0.2
476,5000,15000,14,0.2,0.99,0.01,0.01
477,5000,15000,14,0.2,0.99,0.01,0.05
478,5000,15000,14,0.2,0.99,0.01,0.1
479,5000,15000,14,0.2,0.99,0.01,0.15
480,5000,15000,14,0.2,0.99,0.01,0.2
481,5000,15000,14,0.2,0.99,0.025,0.01
482,5000,15000,14,0.2,0.99,0.025,0.05
483,5000,15000,14,0.2,0.99,0.025,0.1
484,5000,15000,14,0.2,0.99,0.025,0.15
485,5000,15000,14,0.2,0.99,0.025,0.2
486,5000,15000,14,0.2,0.99,0.05,0.01
487,5000,15000,14,0.2,0.99,0.05,0.05
488,5000,15000,14,0.2,0.99,0.05,0.1
489,5000,15000,14,0.2,0.99,0.05,0.15
490,5000,15000,14,0.2,0.99,0.05,0.2
491,5000,15000,14,0.2,0.99,0.075,0.01
492,5000,15000,14,0.2,0.99,0.075,0.05
493,5000,15000,14,0.2,0.99,0.075,0.1
494,5000,15000,14,0.2,0.99,0.075,0.15
495,5000,15000,14,0.2,0.99,0.075,0.2
